cartelaId,B1,B2,B3,B4,B5,I1,I2,I3,I4,I5,N1,N2,N3,N4,N5,G1,G2,G3,G4,G5,O1,O2,O3,O4,O5
30,10,12,8,2,7,25,17,22,19,23,31,32,,36,35,60,49,51,56,55,64,73,61,74,65
31,6,12,7,3,15,24,25,29,22,26,41,33,,31,45,55,58,50,57,47,63,65,68,69,75
32,6,13,1,7,4,28,21,19,27,16,31,36,,33,39,58,59,56,55,47,75,67,68,66,63
33,11,13,8,10,4,22,23,27,24,21,33,41,,45,37,56,46,48,55,57,65,75,72,71,69
34,10,9,2,5,13,20,17,28,26,19,32,41,,39,31,59,53,60,46,50,75,68,73,64,71
35,3,8,13,7,6,27,17,20,21,25,41,32,,34,38,49,56,58,47,48,62,65,70,64,66
36,11,7,4,12,8,18,23,19,28,16,34,42,,33,35,47,53,51,59,48,67,63,62,68,74
37,9,14,6,8,13,18,20,16,21,26,42,32,,37,45,55,50,52,46,60,69,64,74,68,71
38,15,11,13,3,2,29,19,25,23,22,35,41,,45,37,54,52,57,55,48,74,65,73,62,72
39,3,11,14,13,1,19,21,18,23,28,33,31,,44,36,56,55,57,52,54,70,71,62,63,74
40,6,9,8,2,4,17,28,20,30,18,32,39,,34,40,52,53,50,55,46,69,64,71,62,73
41,10,6,11,9,5,25,17,16,20,19,44,43,,38,40,47,57,53,54,50,65,66,72,75,73
42,2,13,4,11,1,16,19,25,26,29,44,36,,45,39,54,57,59,49,56,71,70,69,62,73
43,1,9,3,6,8,25,22,28,21,18,31,33,,44,36,55,59,49,47,60,62,68,61,63,64
44,7,9,4,10,11,25,17,29,21,20,32,40,,34,41,51,48,59,53,58,64,66,62,61,65
45,5,10,2,8,13,27,18,19,24,26,36,40,,41,38,49,51,58,55,48,72,65,75,74,64
46,10,12,9,8,14,17,26,24,25,28,33,39,,40,45,47,54,58,46,55,68,69,66,73,74
47,5,9,13,1,12,23,21,29,19,24,32,39,,41,34,46,48,47,49,59,65,68,63,72,62
48,9,2,12,14,6,19,21,24,30,16,34,36,,38,32,53,51,57,56,54,69,61,75,63,72
49,4,12,3,10,7,28,29,24,27,25,42,43,,31,37,57,48,53,58,59,64,72,74,67,70
50,5,1,6,4,8,22,30,27,28,18,40,41,,44,38,47,53,57,46,55,65,73,74,66,70
51,9,3,10,12,15,24,22,28,16,26,39,38,,36,34,51,57,56,50,58,61,63,65,67,71
52,6,10,12,13,9,30,22,21,28,26,42,41,,45,44,54,53,56,51,52,73,64,72,75,66
53,6,11,3,15,14,21,25,26,20,30,35,43,,40,39,60,56,53,57,46,67,68,70,69,61
54,8,13,12,4,10,25,16,28,19,23,35,37,,31,39,51,54,46,53,47,66,62,75,61,74
55,11,7,8,5,4,16,20,26,21,23,38,39,,35,31,54,60,48,57,51,73,68,75,70,62
56,14,15,12,5,9,21,19,16,27,29,41,36,,39,35,60,52,54,47,58,73,70,64,69,63
57,15,14,4,9,3,30,17,22,28,18,44,40,,39,45,57,59,53,50,60,72,71,73,74,64
58,1,15,10,5,11,25,16,30,20,26,40,38,,39,34,48,50,55,56,60,70,64,66,73,61
59,2,10,8,1,9,30,16,23,17,29,45,31,,32,35,50,57,55,58,51,70,75,68,69,66
60,13,9,7,15,5,24,29,27,20,28,35,39,,40,44,47,50,53,49,59,69,73,61,71,70
61,2,8,15,12,1,28,17,29,19,18,35,32,,39,44,57,58,46,48,56,64,69,61,70,73
62,13,2,7,14,10,24,22,16,17,23,35,33,,37,31,46,50,56,52,59,62,73,63,61,68
63,6,2,10,4,13,28,22,27,26,21,42,34,,45,41,56,49,46,53,55,63,66,67,72,69
64,5,12,9,11,14,17,29,24,27,28,40,45,,35,41,60,46,57,47,56,69,62,70,63,64
65,2,13,4,8,1,20,30,22,18,16,39,37,,42,43,59,57,52,49,60,66,63,62,67,70
66,6,14,11,8,15,23,26,24,29,30,40,44,,41,37,53,56,47,59,51,66,67,71,68,69
67,8,9,1,3,5,28,26,30,19,18,44,37,,38,34,57,50,60,46,54,62,75,65,69,68
68,4,5,2,3,7,26,23,16,27,20,35,41,,40,32,56,57,54,47,60,67,72,63,70,75
69,15,3,5,7,2,24,18,28,25,17,33,42,,41,40,56,60,51,52,49,72,62,75,74,67
70,8,9,1,5,12,20,22,24,18,28,45,41,,34,43,58,54,48,47,51,64,73,74,69,70
71,11,8,2,13,14,17,22,26,16,20,41,42,,32,40,55,51,57,52,54,64,62,71,74,70
72,11,12,8,1,6,21,28,27,17,30,35,44,,34,39,58,50,53,57,47,72,64,66,69,65
73,3,12,4,7,2,23,26,16,20,25,38,36,,37,45,46,60,58,49,55,71,69,61,73,62
74,7,11,5,14,3,26,30,21,18,29,33,45,,35,44,55,51,47,50,49,63,72,70,69,71
75,10,1,8,13,9,29,21,16,18,28,35,31,,37,44,46,49,55,58,47,65,70,74,64,69
76,4,7,15,6,10,17,21,30,16,28,34,38,,42,35,56,53,55,60,59,62,72,75,70,69
77,8,6,10,2,11,24,25,19,17,30,35,38,,33,31,57,50,54,48,46,62,73,70,72,68
78,10,12,4,15,7,30,24,23,16,19,43,36,,39,41,55,49,46,60,54,68,65,62,74,75
79,11,3,8,7,1,17,30,20,23,26,39,41,,40,43,52,49,50,58,46,75,70,65,74,72
80,14,7,5,10,11,28,29,27,21,30,41,40,,32,39,54,52,51,56,59,71,65,62,68,75
81,9,8,10,4,12,17,16,18,30,19,33,32,,37,39,48,52,53,60,59,63,61,70,67,66
82,14,9,15,7,2,16,29,30,19,25,34,41,,31,36,60,54,58,57,48,62,73,61,66,74
83,4,8,2,14,9,28,16,24,18,22,40,38,,37,45,53,54,52,56,47,61,68,73,66,62
84,13,4,12,6,8,28,24,30,21,22,39,34,,41,37,53,47,55,56,57,63,70,65,67,75
85,5,12,15,8,10,19,30,20,16,23,44,32,,37,33,53,46,51,48,54,74,65,61,73,63
86,13,14,1,7,4,25,29,26,16,28,38,32,,40,42,56,49,50,60,47,74,65,61,67,66
87,5,6,9,15,3,20,24,23,30,28,41,44,,31,37,59,47,56,52,54,64,61,74,65,75
88,11,15,10,6,8,16,29,17,19,26,44,42,,34,38,54,49,51,48,60,68,65,69,74,62
89,13,3,12,11,5,18,19,22,26,28,31,39,,38,37,59,57,48,55,52,68,74,65,75,66
90,3,11,14,13,1,27,25,17,26,18,40,37,,44,41,54,57,50,56,58,75,65,62,68,67
91,9,13,4,5,8,18,23,29,27,28,33,35,,43,34,48,60,56,52,53,70,71,63,69,66
92,7,12,6,8,3,17,26,20,27,28,41,37,,45,38,56,47,48,53,54,62,67,72,61,66
93,12,2,1,10,9,16,18,27,17,21,37,38,,35,36,60,46,55,49,54,61,74,73,66,69
94,1,11,12,15,2,23,27,22,26,17,44,36,,34,33,55,47,57,52,58,68,70,64,61,74
95,1,8,5,7,11,29,21,23,25,28,43,31,,38,39,47,50,59,48,49,74,73,62,61,69
96,12,14,11,2,10,27,25,18,30,24,36,44,,33,31,47,59,57,50,60,74,73,61,67,72
97,7,6,14,5,10,18,21,29,26,22,32,43,,42,37,52,53,57,54,46,74,68,73,75,66
98,9,5,15,3,12,22,20,19,29,25,33,43,,38,36,57,47,51,54,49,63,70,62,61,66
99,7,4,15,6,14,16,17,23,19,20,32,39,,43,42,53,52,50,47,49,62,68,71,61,72
100,2,14,8,15,4,22,21,24,27,28,35,40,,44,42,56,47,54,58,46,70,74,68,65,63
101,6,2,11,7,10,22,18,17,21,23,37,31,,45,33,59,51,58,52,48,70,61,67,64,65
102,12,4,1,8,13,25,26,21,24,16,35,43,,38,44,60,51,53,50,57,68,66,63,69,67
103,8,9,2,5,3,29,19,24,27,20,42,40,,33,37,51,46,57,52,59,66,72,70,67,74
104,1,11,8,7,2,29,26,22,17,19,38,40,,36,39,58,47,57,48,52,67,63,70,74,64
105,6,15,12,11,5,26,22,21,24,25,33,31,,43,38,58,56,53,49,48,66,71,62,68,63
106,5,11,10,6,13,25,22,18,23,21,35,34,,45,41,58,60,57,55,46,67,66,69,75,70
107,12,2,4,5,13,21,16,20,17,29,41,36,,32,40,50,47,49,60,56,69,68,66,61,63
108,5,14,3,10,9,29,30,19,26,18,44,32,,43,39,56,54,59,52,49,73,62,69,74,70
109,8,6,12,15,3,17,25,19,16,29,44,38,,41,35,59,53,54,51,55,66,73,75,70,65
110,2,4,7,15,9,26,29,28,21,18,40,43,,41,34,59,56,46,57,51,62,75,69,65,72
111,6,13,14,12,9,21,16,26,22,25,45,33,,38,39,54,46,51,53,50,62,64,75,63,74
112,10,7,8,6,13,19,20,21,17,29,33,35,,31,43,52,49,59,46,50,63,72,75,70,61
113,11,15,4,2,7,19,30,24,29,28,40,35,,34,43,53,49,48,46,60,71,68,62,67,66
114,13,1,9,12,6,16,28,22,23,18,44,35,,31,38,57,46,47,55,50,68,64,61,71,62
115,11,14,3,2,12,22,29,16,25,27,42,33,,40,44,58,52,51,47,59,70,72,69,75,65
116,9,14,3,11,13,30,25,29,21,19,41,36,,39,34,51,49,58,48,57,74,65,69,73,70
117,10,7,1,11,12,17,16,28,22,21,32,34,,35,41,50,47,51,52,56,63,75,74,64,72
118,9,11,4,6,10,21,28,18,17,19,39,42,,37,44,50,46,60,49,57,64,74,75,69,65
119,13,15,14,11,5,24,17,22,25,28,37,44,,43,41,54,60,59,57,47,65,63,74,73,62
120,10,2,5,14,1,18,26,29,28,25,41,31,,38,33,58,52,56,50,60,72,61,71,64,62
121,9,4,13,5,15,20,27,24,25,28,43,42,,40,39,54,55,51,49,58,63,71,69,62,75
122,9,12,1,5,11,19,20,16,25,28,42,38,,45,36,46,59,60,58,53,64,71,67,70,61
123,12,10,7,5,2,23,18,26,21,30,37,31,,36,43,47,48,46,56,60,71,73,74,63,61
124,6,3,1,11,8,30,21,20,25,23,37,39,,41,34,51,56,46,52,48,75,65,66,71,73
125,11,6,9,3,2,17,22,25,16,18,33,34,,36,45,51,54,49,58,46,65,73,74,68,70
126,14,2,4,8,9,19,23,27,26,22,39,32,,34,33,55,48,49,58,53,70,63,71,66,62
127,3,6,12,5,11,17,26,19,24,27,44,32,,37,35,46,52,47,48,55,62,73,61,63,64
128,6,9,3,4,12,24,19,26,30,23,32,34,,35,44,57,54,51,52,49,75,69,65,67,62
129,5,2,14,11,10,26,16,18,28,21,45,41,,42,43,58,56,53,51,60,72,63,67,70,73
130,8,9,3,15,11,17,25,24,20,30,39,37,,42,35,57,46,56,60,52,63,69,65,75,66
131,7,5,8,4,14,17,20,25,22,29,34,39,,36,33,49,53,55,51,59,70,72,68,65,75
132,9,13,5,8,4,26,21,24,22,20,36,43,,32,41,56,47,53,52,60,75,61,65,70,62
133,11,8,6,9,4,27,20,23,16,30,31,45,,34,35,49,60,57,47,52,72,73,70,68,61
134,10,13,1,7,3,20,25,22,18,29,33,43,,37,34,58,53,48,55,46,71,62,70,68,72
135,15,7,2,5,14,25,22,30,18,26,43,36,,35,39,58,48,56,50,46,70,67,69,66,62
136,4,2,12,15,1,29,23,17,26,21,40,45,,39,31,53,58,50,51,56,74,65,67,61,75
137,4,1,5,12,8,19,27,29,16,28,41,34,,31,36,54,51,60,49,53,65,74,73,75,66
138,4,6,3,5,11,21,28,18,16,23,38,37,,40,41,53,54,57,49,50,69,73,66,62,61
139,1,12,14,3,13,18,28,24,20,17,37,40,,33,39,49,52,53,54,55,71,63,73,72,66
140,10,9,15,6,11,30,26,18,19,25,45,37,,38,42,58,49,57,47,50,62,73,64,75,68
141,3,5,7,12,9,20,21,19,27,18,35,43,,32,44,52,47,50,53,51,72,63,73,64,68
142,9,3,14,15,6,25,26,22,17,28,38,37,,35,31,55,51,58,52,54,65,74,64,73,61
143,12,4,13,10,11,20,18,28,17,21,45,38,,35,42,57,58,46,48,55,74,73,64,72,67
144,9,13,7,2,6,23,18,30,16,27,33,41,,40,35,53,60,54,49,47,71,63,67,70,75
145,9,15,5,14,3,22,23,21,17,28,33,41,,39,42,48,57,51,49,55,75,74,69,71,63
146,15,1,12,8,5,27,26,28,18,16,37,38,,35,36,55,56,46,50,48,69,72,66,64,75
147,1,2,11,9,5,18,22,29,23,28,39,35,,37,32,50,60,47,59,52,73,74,63,66,72
148,12,7,5,2,8,24,19,26,18,16,36,45,,38,35,55,49,54,60,58,74,61,69,62,75
149,15,4,5,13,12,22,25,17,30,27,35,31,,40,37,46,56,53,47,48,75,64,71,74,67
150,2,12,6,3,10,24,16,17,23,29,43,36,,32,40,58,59,57,51,60,69,61,73,63,68
151,14,13,4,1,6,25,20,26,17,28,39,44,,42,43,48,49,52,51,60,67,72,70,73,74
152,14,12,11,6,4,27,24,30,28,22,39,33,,34,32,58,51,59,53,47,69,72,65,66,64
153,12,3,10,14,1,26,16,24,30,19,38,40,,37,33,48,46,49,51,52,63,67,62,71,65
154,12,11,1,7,2,28,19,30,26,18,41,31,,34,35,47,49,46,51,55,68,62,66,69,75
155,2,1,13,5,6,26,18,23,22,17,36,40,,41,31,53,47,54,51,56,72,66,75,64,73
156,8,13,4,3,5,17,18,16,29,30,40,31,,32,42,51,60,54,50,53,66,70,67,74,72
157,3,10,15,5,12,19,26,18,25,16,39,32,,33,34,60,57,51,50,49,62,69,71,61,67
158,5,2,12,9,6,23,27,19,24,21,45,33,,39,41,48,47,54,58,51,74,64,70,75,62
159,4,14,2,3,11,28,29,30,18,26,35,31,,36,40,53,48,50,46,57,72,73,69,68,74
160,7,12,9,5,13,30,24,19,17,27,34,36,,35,40,56,50,60,58,46,72,66,65,67,63
161,8,2,1,5,6,18,22,19,20,17,36,42,,40,31,58,48,46,54,57,70,72,75,65,64
162,5,8,15,3,10,20,28,27,21,19,44,40,,39,31,54,52,57,46,50,73,65,68,70,69
163,1,6,3,5,10,17,20,22,18,16,32,33,,41,38,57,53,52,60,51,68,74,75,72,61
164,1,15,7,13,8,25,29,22,26,21,40,44,,31,38,56,51,59,47,46,61,69,66,73,74
165,8,6,12,2,3,16,20,26,21,23,35,43,,34,42,49,52,55,48,53,66,71,67,61,69
166,13,9,1,4,11,30,25,22,18,28,37,41,,39,42,50,53,58,55,57,62,63,64,65,75
167,10,2,15,11,6,27,23,22,18,21,32,42,,33,34,54,57,56,50,46,74,73,63,69,67
168,5,10,12,2,8,17,29,18,30,22,36,32,,45,40,48,50,47,60,52,68,65,73,74,66
169,9,6,14,11,12,29,28,18,23,17,36,41,,31,32,46,60,59,51,50,71,73,75,65,63
170,3,10,15,4,2,23,16,22,21,26,38,44,,40,35,47,55,56,57,51,66,61,64,62,67
171,8,7,14,13,4,26,29,24,21,18,42,36,,34,44,55,48,56,54,46,71,75,72,64,70
172,9,5,7,11,4,25,17,23,28,20,41,43,,31,33,56,57,59,54,50,72,74,68,70,67
173,4,8,5,2,9,26,17,18,25,24,44,38,,40,43,55,58,60,57,52,65,63,68,72,69
174,14,15,5,13,12,27,22,25,20,28,40,41,,43,45,47,52,51,58,57,72,67,71,69,61
175,3,5,11,6,13,18,21,25,26,23,31,36,,41,32,50,51,58,52,56,73,70,72,74,75
176,13,11,8,5,2,28,26,19,29,18,40,35,,44,31,49,51,46,59,53,68,72,62,64,73
177,13,3,1,4,11,23,17,19,26,30,35,42,,34,38,53,51,59,57,46,72,63,73,66,69
178,7,6,13,9,15,23,26,20,29,25,41,38,,40,37,49,59,47,46,56,75,64,63,66,70
179,15,12,13,10,5,27,19,25,28,16,34,42,,40,45,54,48,50,53,55,71,75,74,66,61
180,14,4,2,8,9,29,26,28,17,19,35,38,,42,39,57,54,48,51,47,75,71,68,69,63
181,6,13,7,10,8,16,25,24,17,22,38,45,,41,40,48,56,52,58,50,68,67,75,61,72
182,6,9,3,2,1,23,24,17,30,28,37,41,,34,36,58,55,57,48,59,73,72,69,70,74
183,8,4,6,13,15,19,24,29,18,28,36,43,,31,33,60,57,55,47,56,67,74,66,72,73
184,13,9,11,14,10,23,29,30,16,27,41,42,,40,33,55,60,46,47,51,63,73,74,61,68
185,13,5,1,14,15,17,19,28,23,20,31,37,,41,36,48,47,55,49,54,72,73,65,61,74
186,3,1,15,9,2,20,18,27,26,30,39,43,,31,44,46,52,58,49,53,62,61,73,68,64
187,4,11,13,12,14,30,27,23,17,24,39,31,,44,40,50,59,60,57,51,69,62,64,65,61
188,12,13,5,11,9,17,28,20,21,16,34,38,,39,36,50,54,47,60,53,67,63,70,61,62
189,6,5,11,12,14,25,19,18,26,20,43,35,,33,37,47,50,60,54,46,68,67,75,74,66
190,12,1,3,13,15,18,23,28,17,16,34,45,,35,44,56,58,46,51,60,69,62,71,68,70
191,9,1,14,4,12,16,25,30,17,22,33,43,,35,42,60,57,52,46,55,64,67,62,73,65
192,11,9,15,3,8,16,25,29,23,27,38,36,,44,39,52,56,54,53,47,62,68,75,61,72
193,13,14,5,6,2,19,28,25,24,23,35,40,,43,32,49,51,47,54,57,66,74,61,70,65
194,6,1,9,5,13,22,19,18,21,30,33,37,,44,43,51,56,57,50,60,65,67,68,71,66
195,6,2,4,11,7,26,21,20,17,25,31,42,,32,45,54,52,55,59,58,65,70,63,62,67
196,1,11,14,9,6,18,24,22,20,25,39,41,,36,35,48,57,59,50,52,65,71,70,72,74
197,3,6,12,10,13,23,30,29,28,27,38,31,,32,44,49,51,57,58,46,69,63,68,75,65
198,8,6,7,10,5,17,25,24,20,19,44,42,,39,31,48,59,49,55,60,68,61,75,70,65
199,1,8,12,10,13,19,18,26,16,29,32,45,,42,39,60,55,47,50,48,74,67,68,62,66
200,2,10,14,7,8,25,29,28,19,24,36,41,,45,40,60,46,49,50,47,70,67,64,73,72
